seed,disabled_component,sync_failure_bool,recovery_time_ms
1337,none,0,5430.000
1337,phase_salt,0,5860.000
1337,anti_windup,0,6610.000
1337,lock_detector,0,7070.000
1337,handoff_compensation,0,6270.000
9256,none,0,5260.000
9256,phase_salt,0,5880.000
9256,anti_windup,0,6620.000
9256,lock_detector,0,7480.000
9256,handoff_compensation,0,6260.000
17175,none,0,5310.000
17175,phase_salt,0,5960.000
17175,anti_windup,0,6480.000
17175,lock_detector,0,7290.000
17175,handoff_compensation,0,6150.000
25094,none,0,5270.000
25094,phase_salt,0,6110.000
25094,anti_windup,0,6860.000
25094,lock_detector,0,7430.000
25094,handoff_compensation,0,6250.000
33013,none,0,5250.000
33013,phase_salt,0,6020.000
33013,anti_windup,0,6530.000
33013,lock_detector,0,7240.000
33013,handoff_compensation,0,6270.000
40932,none,0,5340.000
40932,phase_salt,0,6140.000
40932,anti_windup,0,6510.000
40932,lock_detector,0,7330.000
40932,handoff_compensation,0,6420.000
48851,none,0,5190.000
48851,phase_salt,0,5970.000
48851,anti_windup,0,6540.000
48851,lock_detector,0,7210.000
48851,handoff_compensation,0,6400.000
56770,none,0,5230.000
56770,phase_salt,0,6020.000
56770,anti_windup,0,6530.000
56770,lock_detector,0,7390.000
56770,handoff_compensation,0,6380.000
64689,none,0,5270.000
64689,phase_salt,0,5990.000
64689,anti_windup,0,6720.000
64689,lock_detector,0,7200.000
64689,handoff_compensation,0,6380.000
72608,none,0,5360.000
72608,phase_salt,0,6070.000
72608,anti_windup,0,6610.000
72608,lock_detector,0,7090.000
72608,handoff_compensation,0,6270.000
80527,none,0,5470.000
80527,phase_salt,0,6120.000
80527,anti_windup,0,6590.000
80527,lock_detector,0,7610.000
80527,handoff_compensation,0,6350.000
88446,none,0,5400.000
88446,phase_salt,0,6040.000
88446,anti_windup,0,7130.000
88446,lock_detector,0,7200.000
88446,handoff_compensation,0,6060.000
96365,none,0,5390.000
96365,phase_salt,0,6140.000
96365,anti_windup,0,6570.000
96365,lock_detector,0,7270.000
96365,handoff_compensation,0,6390.000
104284,none,0,5310.000
104284,phase_salt,0,6020.000
104284,anti_windup,0,6440.000
104284,lock_detector,0,7270.000
104284,handoff_compensation,0,6290.000
112203,none,0,5400.000
112203,phase_salt,0,5940.000
112203,anti_windup,0,6880.000
112203,lock_detector,0,7150.000
112203,handoff_compensation,0,6150.000
120122,none,0,5440.000
120122,phase_salt,0,6160.000
120122,anti_windup,0,6530.000
120122,lock_detector,0,7350.000
120122,handoff_compensation,0,6150.000
128041,none,0,5250.000
128041,phase_salt,0,6010.000
128041,anti_windup,0,6370.000
128041,lock_detector,0,7170.000
128041,handoff_compensation,0,6210.000
135960,none,0,5290.000
135960,phase_salt,0,5890.000
135960,anti_windup,0,6880.000
135960,lock_detector,0,7120.000
135960,handoff_compensation,0,6470.000
143879,none,0,5270.000
143879,phase_salt,0,6130.000
143879,anti_windup,0,6570.000
143879,lock_detector,0,6910.000
143879,handoff_compensation,0,6360.000
151798,none,0,5540.000
151798,phase_salt,0,5990.000
151798,anti_windup,0,6830.000
151798,lock_detector,0,7090.000
151798,handoff_compensation,0,6320.000
