time_ms,mode,continuity_score,handoff_event_bool
0,Baseline,0.872677,0
100,Baseline,0.872757,0
200,Baseline,0.872948,0
300,Baseline,0.873230,0
400,Baseline,0.873575,0
500,Baseline,0.873972,0
600,Baseline,0.874413,0
700,Baseline,0.874881,0
800,Baseline,0.875380,0
900,Baseline,0.875914,0
1000,Baseline,0.876468,0
1100,Baseline,0.877048,0
1200,Baseline,0.877632,0
1300,Baseline,0.878204,0
1400,Baseline,0.878787,0
1500,Baseline,0.879370,0
1600,Baseline,0.879959,0
1700,Baseline,0.880555,0
1800,Baseline,0.881166,0
1900,Baseline,0.881777,0
2000,Baseline,0.882387,0
2100,Baseline,0.883007,0
2200,Baseline,0.883623,0
2300,Baseline,0.884240,0
2400,Baseline,0.884861,0
2500,Baseline,0.885468,0
2600,Baseline,0.886099,0
2700,Baseline,0.886714,0
2800,Baseline,0.887340,0
2900,Baseline,0.887971,0
3000,Baseline,0.888605,0
3100,Baseline,0.889237,0
3200,Baseline,0.889872,0
3300,Baseline,0.890525,0
3400,Baseline,0.891175,0
3500,Baseline,0.891810,0
3600,Baseline,0.892476,0
3700,Baseline,0.893112,0
3800,Baseline,0.893757,0
3900,Baseline,0.894399,0
4000,Baseline,0.895037,0
4100,Baseline,0.895684,0
4200,Baseline,0.896332,0
4300,Baseline,0.896969,0
4400,Baseline,0.897609,0
4500,Baseline,0.898251,0
4600,Baseline,0.898870,0
4700,Baseline,0.899495,0
4800,Baseline,0.900119,0
4900,Baseline,0.900750,0
5000,Baseline,0.901394,0
5100,Baseline,0.902035,0
5200,Baseline,0.902675,0
5300,Baseline,0.903327,0
5400,Baseline,0.903972,0
5500,Baseline,0.904625,0
5600,Baseline,0.905283,0
5700,Baseline,0.905926,0
5800,Baseline,0.906562,0
5900,Baseline,0.907203,0
6000,Baseline,0.907840,0
6100,Baseline,0.908459,0
6200,Baseline,0.909073,0
6300,Baseline,0.909709,0
6400,Baseline,0.910339,0
6500,Baseline,0.910962,0
6600,Baseline,0.911596,0
6700,Baseline,0.912221,0
6800,Baseline,0.912863,0
6900,Baseline,0.913497,0
7000,Baseline,0.914128,0
7100,Baseline,0.914744,0
7200,Baseline,0.915371,0
7300,Baseline,0.915983,0
7400,Baseline,0.916610,0
7500,Baseline,0.917220,0
7600,Baseline,0.917837,0
7700,Baseline,0.918463,0
7800,Baseline,0.919093,0
7900,Baseline,0.919715,0
8000,Baseline,0.920337,0
8100,Baseline,0.920976,0
8200,Baseline,0.921599,0
8300,Baseline,0.922229,0
8400,Baseline,0.922853,0
8500,Baseline,0.923470,0
8600,Baseline,0.924106,0
8700,Baseline,0.924723,0
8800,Baseline,0.925358,0
8900,Baseline,0.925998,0
9000,Baseline,0.926638,0
9100,Baseline,0.927293,0
9200,Baseline,0.927961,0
9300,Baseline,0.928620,0
9400,Baseline,0.929283,0
9500,Baseline,0.929941,0
9600,Baseline,0.930596,0
9700,Baseline,0.931250,0
9800,Baseline,0.931886,0
9900,Baseline,0.932517,0
10000,Baseline,0.933148,0
10100,Baseline,0.933787,0
10200,Baseline,0.934429,0
10300,Baseline,0.935065,0
10400,Baseline,0.935693,0
10500,Baseline,0.936330,0
10600,Baseline,0.936981,0
10700,Baseline,0.937618,0
10800,Baseline,0.938266,0
10900,Baseline,0.938907,0
11000,Baseline,0.939549,0
11100,Baseline,0.940204,0
11200,Baseline,0.940848,0
11300,Baseline,0.941505,0
11400,Baseline,0.942154,0
11500,Baseline,0.942776,0
11600,Baseline,0.943418,0
11700,Baseline,0.944048,0
11800,Baseline,0.944687,0
11900,Baseline,0.945334,0
12000,Baseline,0.945959,0
12100,Baseline,0.946590,0
12200,Baseline,0.947236,0
12300,Baseline,0.947869,0
12400,Baseline,0.948496,0
12500,Baseline,0.949125,0
12600,Baseline,0.949739,0
12700,Baseline,0.950364,0
12800,Baseline,0.950982,0
12900,Baseline,0.951617,0
13000,Baseline,0.952246,0
13100,Baseline,0.952849,0
13200,Baseline,0.953473,0
13300,Baseline,0.954088,0
13400,Baseline,0.954711,0
13500,Baseline,0.955336,0
13600,Baseline,0.955968,0
13700,Baseline,0.956601,0
13800,Baseline,0.957234,0
13900,Baseline,0.957889,0
14000,Baseline,0.958537,0
14100,Baseline,0.959182,0
14200,Baseline,0.959817,0
14300,Baseline,0.960450,0
14400,Baseline,0.961080,0
14500,Baseline,0.961713,0
14600,Baseline,0.962343,0
14700,Baseline,0.962994,0
14800,Baseline,0.963664,0
14900,Baseline,0.964326,0
15000,Baseline,0.964964,0
15100,Baseline,0.965621,0
15200,Baseline,0.966273,0
15300,Baseline,0.966920,0
15400,Baseline,0.967566,0
15500,Baseline,0.968208,0
15600,Baseline,0.968842,0
15700,Baseline,0.969480,0
15800,Baseline,0.970131,0
15900,Baseline,0.970783,0
16000,Baseline,0.971401,0
16100,Baseline,0.972030,0
16200,Baseline,0.972667,0
16300,Baseline,0.973305,0
16400,Baseline,0.973925,0
16500,Baseline,0.974578,0
16600,Baseline,0.975213,0
16700,Baseline,0.975850,0
16800,Baseline,0.976499,0
16900,Baseline,0.977145,0
17000,Baseline,0.977797,0
17100,Baseline,0.978437,0
17200,Baseline,0.979074,0
17300,Baseline,0.979712,0
17400,Baseline,0.980348,0
17500,Baseline,0.980980,0
17600,Baseline,0.981590,0
17700,Baseline,0.982203,0
17800,Baseline,0.982821,0
17900,Baseline,0.983453,0
18000,Baseline,0.984078,0
18100,Baseline,0.984712,0
18200,Baseline,0.985362,0
