seed,node_count,loss_rate,mode,mean_phase_error,sync_failure_bool
1337,10,0.000000,Baseline,0.600554,0
1337,10,0.000000,WNN,0.389628,0
1337,10,0.020000,Baseline,0.594431,0
1337,10,0.020000,WNN,0.389256,0
1337,10,0.050000,Baseline,0.598676,0
1337,10,0.050000,WNN,0.391356,0
1337,10,0.100000,Baseline,0.599202,0
1337,10,0.100000,WNN,0.376066,0
1337,50,0.000000,Baseline,0.598689,0
1337,50,0.000000,WNN,0.388550,0
1337,50,0.020000,Baseline,0.596530,0
1337,50,0.020000,WNN,0.390402,0
1337,50,0.050000,Baseline,0.598418,0
1337,50,0.050000,WNN,0.385543,0
1337,50,0.100000,Baseline,0.598083,0
1337,50,0.100000,WNN,0.392202,0
1337,100,0.000000,Baseline,0.600614,0
1337,100,0.000000,WNN,0.391119,0
1337,100,0.020000,Baseline,0.596974,0
1337,100,0.020000,WNN,0.391498,0
1337,100,0.050000,Baseline,0.595520,0
1337,100,0.050000,WNN,0.394858,0
1337,100,0.100000,Baseline,0.596896,0
1337,100,0.100000,WNN,0.381234,0
1337,500,0.000000,Baseline,0.600676,0
1337,500,0.000000,WNN,0.391415,0
1337,500,0.020000,Baseline,0.598513,0
1337,500,0.020000,WNN,0.385875,0
1337,500,0.050000,Baseline,0.597559,0
1337,500,0.050000,WNN,0.391287,0
1337,500,0.100000,Baseline,0.595721,0
1337,500,0.100000,WNN,0.391844,0
9256,10,0.000000,Baseline,0.600477,0
9256,10,0.000000,WNN,0.391381,0
9256,10,0.020000,Baseline,0.599016,0
9256,10,0.020000,WNN,0.390717,0
9256,10,0.050000,Baseline,0.597788,0
9256,10,0.050000,WNN,0.389147,0
9256,10,0.100000,Baseline,0.597084,0
9256,10,0.100000,WNN,0.388400,0
9256,50,0.000000,Baseline,0.594868,0
9256,50,0.000000,WNN,0.393408,0
9256,50,0.020000,Baseline,0.596671,0
9256,50,0.020000,WNN,0.392842,0
9256,50,0.050000,Baseline,0.597517,0
9256,50,0.050000,WNN,0.389667,0
9256,50,0.100000,Baseline,0.597101,0
9256,50,0.100000,WNN,0.383947,0
9256,100,0.000000,Baseline,0.596438,0
9256,100,0.000000,WNN,0.385274,0
9256,100,0.020000,Baseline,0.595327,0
9256,100,0.020000,WNN,0.387278,0
9256,100,0.050000,Baseline,0.596123,0
9256,100,0.050000,WNN,0.384479,0
9256,100,0.100000,Baseline,0.599608,0
9256,100,0.100000,WNN,0.386931,0
9256,500,0.000000,Baseline,0.591100,0
9256,500,0.000000,WNN,0.390804,0
9256,500,0.020000,Baseline,0.596130,0
9256,500,0.020000,WNN,0.396923,0
9256,500,0.050000,Baseline,0.597004,0
9256,500,0.050000,WNN,0.386402,0
9256,500,0.100000,Baseline,0.594712,0
9256,500,0.100000,WNN,0.389876,0
17175,10,0.000000,Baseline,0.597355,0
17175,10,0.000000,WNN,0.389906,0
17175,10,0.020000,Baseline,0.599082,0
17175,10,0.020000,WNN,0.390912,0
17175,10,0.050000,Baseline,0.597269,0
17175,10,0.050000,WNN,0.388802,0
17175,10,0.100000,Baseline,0.595376,0
17175,10,0.100000,WNN,0.383692,0
17175,50,0.000000,Baseline,0.597400,0
17175,50,0.000000,WNN,0.391230,0
17175,50,0.020000,Baseline,0.595915,0
17175,50,0.020000,WNN,0.388392,0
17175,50,0.050000,Baseline,0.597318,0
17175,50,0.050000,WNN,0.386537,0
17175,50,0.100000,Baseline,0.600130,0
17175,50,0.100000,WNN,0.378690,0
17175,100,0.000000,Baseline,0.599880,0
17175,100,0.000000,WNN,0.394392,0
17175,100,0.020000,Baseline,0.593334,0
17175,100,0.020000,WNN,0.390701,0
17175,100,0.050000,Baseline,0.596632,0
17175,100,0.050000,WNN,0.391107,0
17175,100,0.100000,Baseline,0.598158,0
17175,100,0.100000,WNN,0.394252,0
17175,500,0.000000,Baseline,0.595984,0
17175,500,0.000000,WNN,0.386290,0
17175,500,0.020000,Baseline,0.599512,0
17175,500,0.020000,WNN,0.393291,0
17175,500,0.050000,Baseline,0.597201,0
17175,500,0.050000,WNN,0.382319,0
17175,500,0.100000,Baseline,0.599751,0
17175,500,0.100000,WNN,0.373347,0
25094,10,0.000000,Baseline,0.597227,0
25094,10,0.000000,WNN,0.392487,0
25094,10,0.020000,Baseline,0.595412,0
25094,10,0.020000,WNN,0.386503,0
25094,10,0.050000,Baseline,0.595240,0
25094,10,0.050000,WNN,0.389788,0
25094,10,0.100000,Baseline,0.597872,0
25094,10,0.100000,WNN,0.383991,0
25094,50,0.000000,Baseline,0.597528,0
25094,50,0.000000,WNN,0.389450,0
25094,50,0.020000,Baseline,0.596211,0
25094,50,0.020000,WNN,0.388914,0
25094,50,0.050000,Baseline,0.597638,0
25094,50,0.050000,WNN,0.390021,0
25094,50,0.100000,Baseline,0.595723,0
25094,50,0.100000,WNN,0.384100,0
25094,100,0.000000,Baseline,0.596447,0
25094,100,0.000000,WNN,0.393454,0
25094,100,0.020000,Baseline,0.596595,0
25094,100,0.020000,WNN,0.388341,0
25094,100,0.050000,Baseline,0.599727,0
25094,100,0.050000,WNN,0.395204,0
25094,100,0.100000,Baseline,0.600908,0
25094,100,0.100000,WNN,0.387379,0
25094,500,0.000000,Baseline,0.595510,0
25094,500,0.000000,WNN,0.394901,0
25094,500,0.020000,Baseline,0.598243,0
25094,500,0.020000,WNN,0.389827,0
25094,500,0.050000,Baseline,0.600830,0
25094,500,0.050000,WNN,0.394673,0
25094,500,0.100000,Baseline,0.596263,0
25094,500,0.100000,WNN,0.383579,0
33013,10,0.000000,Baseline,0.599285,0
33013,10,0.000000,WNN,0.394011,0
33013,10,0.020000,Baseline,0.598398,0
33013,10,0.020000,WNN,0.387767,0
33013,10,0.050000,Baseline,0.598140,0
33013,10,0.050000,WNN,0.390297,0
33013,10,0.100000,Baseline,0.596118,0
33013,10,0.100000,WNN,0.383263,0
33013,50,0.000000,Baseline,0.594393,0
33013,50,0.000000,WNN,0.392445,0
33013,50,0.020000,Baseline,0.596417,0
33013,50,0.020000,WNN,0.388623,0
33013,50,0.050000,Baseline,0.597416,0
33013,50,0.050000,WNN,0.393146,0
33013,50,0.100000,Baseline,0.597596,0
33013,50,0.100000,WNN,0.384471,0
33013,100,0.000000,Baseline,0.595491,0
33013,100,0.000000,WNN,0.392858,0
33013,100,0.020000,Baseline,0.595619,0
33013,100,0.020000,WNN,0.388003,0
33013,100,0.050000,Baseline,0.598379,0
33013,100,0.050000,WNN,0.376964,0
33013,100,0.100000,Baseline,0.595134,0
33013,100,0.100000,WNN,0.387648,0
33013,500,0.000000,Baseline,0.599523,0
33013,500,0.000000,WNN,0.388405,0
33013,500,0.020000,Baseline,0.596744,0
33013,500,0.020000,WNN,0.392008,0
33013,500,0.050000,Baseline,0.593900,0
33013,500,0.050000,WNN,0.388065,0
33013,500,0.100000,Baseline,0.599059,0
33013,500,0.100000,WNN,0.386494,0
40932,10,0.000000,Baseline,0.596674,0
40932,10,0.000000,WNN,0.391726,0
40932,10,0.020000,Baseline,0.598295,0
40932,10,0.020000,WNN,0.389540,0
40932,10,0.050000,Baseline,0.596810,0
40932,10,0.050000,WNN,0.391955,0
40932,10,0.100000,Baseline,0.599097,0
