seed,mode,time_ms,phase_error_rad
1337,Baseline,0,0.193502
1337,Baseline,100,0.191566
1337,Baseline,200,0.189631
1337,Baseline,300,0.187695
1337,Baseline,400,0.185760
1337,Baseline,500,0.183824
1337,Baseline,600,0.181889
1337,Baseline,700,0.179953
1337,Baseline,800,0.178018
1337,Baseline,900,0.176082
1337,Baseline,1000,0.174147
1337,Baseline,1100,0.172211
1337,Baseline,1200,0.170276
1337,Baseline,1300,0.168340
1337,Baseline,1400,0.166405
1337,Baseline,1500,0.164470
1337,Baseline,1600,0.162534
1337,Baseline,1700,0.160599
1337,Baseline,1800,0.158663
1337,Baseline,1900,0.156728
1337,Baseline,2000,0.154792
1337,Baseline,2100,0.152857
1337,Baseline,2200,0.150921
1337,Baseline,2300,0.148986
1337,Baseline,2400,0.147050
1337,Baseline,2500,0.145115
1337,Baseline,2600,0.143181
1337,Baseline,2700,0.141248
1337,Baseline,2800,0.139314
1337,Baseline,2900,0.137381
1337,Baseline,3000,0.135447
1337,Baseline,3100,0.133514
1337,Baseline,3200,0.131580
1337,Baseline,3300,0.129647
1337,Baseline,3400,0.127714
1337,Baseline,3500,0.125780
1337,Baseline,3600,0.123847
1337,Baseline,3700,0.121913
1337,Baseline,3800,0.119980
1337,Baseline,3900,0.118046
1337,Baseline,4000,0.116113
1337,Baseline,4100,0.114179
1337,Baseline,4200,0.112246
1337,Baseline,4300,0.110312
1337,Baseline,4400,0.108379
1337,Baseline,4500,0.106445
1337,Baseline,4600,0.104512
1337,Baseline,4700,0.102578
1337,Baseline,4800,0.100645
1337,Baseline,4900,0.098711
1337,Baseline,5000,0.096778
1337,Baseline,5100,0.094846
1337,Baseline,5200,0.092915
1337,Baseline,5300,0.090984
1337,Baseline,5400,0.089052
1337,Baseline,5500,0.087121
1337,Baseline,5600,0.085189
1337,Baseline,5700,0.083258
1337,Baseline,5800,0.081326
1337,Baseline,5900,0.079395
1337,Baseline,6000,0.077463
1337,Baseline,6100,0.075532
1337,Baseline,6200,0.073600
1337,Baseline,6300,0.071669
1337,Baseline,6400,0.069737
1337,Baseline,6500,0.067806
1337,Baseline,6600,0.065874
1337,Baseline,6700,0.063943
1337,Baseline,6800,0.062011
1337,Baseline,6900,0.060080
1337,Baseline,7000,0.058148
1337,Baseline,7100,0.056217
1337,Baseline,7200,0.054286
1337,Baseline,7300,0.052354
1337,Baseline,7400,0.050423
1337,Baseline,7500,0.048491
1337,Baseline,7600,0.046562
1337,Baseline,7700,0.044632
1337,Baseline,7800,0.042703
1337,Baseline,7900,0.040773
1337,Baseline,8000,0.038844
1337,Baseline,8100,0.036914
1337,Baseline,8200,0.034985
1337,Baseline,8300,0.033055
1337,Baseline,8400,0.031126
1337,Baseline,8500,0.029196
1337,Baseline,8600,0.027267
1337,Baseline,8700,0.025337
1337,Baseline,8800,0.023408
1337,Baseline,8900,0.021478
1337,Baseline,9000,0.019549
1337,Baseline,9100,0.017620
1337,Baseline,9200,0.015690
1337,Baseline,9300,0.013761
1337,Baseline,9400,0.011831
1337,Baseline,9500,0.009902
1337,Baseline,9600,0.007972
1337,Baseline,9700,0.006043
1337,Baseline,9800,0.004113
1337,Baseline,9900,0.002184
1337,Baseline,10000,0.000254
1337,Baseline,10100,-0.001681
1337,Baseline,10200,-0.003617
1337,Baseline,10300,-0.005552
1337,Baseline,10400,-0.007488
1337,Baseline,10500,-0.009423
1337,Baseline,10600,-0.011359
1337,Baseline,10700,-0.013294
1337,Baseline,10800,-0.015230
1337,Baseline,10900,-0.017165
1337,Baseline,11000,-0.019100
1337,Baseline,11100,-0.021036
1337,Baseline,11200,-0.022971
1337,Baseline,11300,-0.024907
1337,Baseline,11400,-0.026842
1337,Baseline,11500,-0.028778
1337,Baseline,11600,-0.030713
1337,Baseline,11700,-0.032649
1337,Baseline,11800,-0.034584
1337,Baseline,11900,-0.036520
1337,Baseline,12000,-0.038455
1337,Baseline,12100,-0.040391
1337,Baseline,12200,-0.042326
1337,Baseline,12300,-0.044262
1337,Baseline,12400,-0.046197
1337,Baseline,12500,-0.048133
1337,Baseline,12600,-0.050066
1337,Baseline,12700,-0.052000
1337,Baseline,12800,-0.053933
1337,Baseline,12900,-0.055866
1337,Baseline,13000,-0.057800
1337,Baseline,13100,-0.059733
1337,Baseline,13200,-0.061667
1337,Baseline,13300,-0.063600
1337,Baseline,13400,-0.065534
1337,Baseline,13500,-0.067467
1337,Baseline,13600,-0.069401
1337,Baseline,13700,-0.071334
1337,Baseline,13800,-0.073268
1337,Baseline,13900,-0.075201
1337,Baseline,14000,-0.077135
1337,Baseline,14100,-0.079068
1337,Baseline,14200,-0.081002
1337,Baseline,14300,-0.082935
1337,Baseline,14400,-0.084869
1337,Baseline,14500,-0.086802
1337,Baseline,14600,-0.088736
1337,Baseline,14700,-0.090669
1337,Baseline,14800,-0.092603
1337,Baseline,14900,-0.094536
1337,Baseline,15000,-0.096469
1337,Baseline,15100,-0.098401
1337,Baseline,15200,-0.100332
1337,Baseline,15300,-0.102264
1337,Baseline,15400,-0.104195
1337,Baseline,15500,-0.106127
1337,Baseline,15600,-0.108058
1337,Baseline,15700,-0.109990
1337,Baseline,15800,-0.111921
1337,Baseline,15900,-0.113853
1337,Baseline,16000,-0.115784
1337,Baseline,16100,-0.117716
1337,Baseline,16200,-0.119647
1337,Baseline,16300,-0.121579
1337,Baseline,16400,-0.123510
1337,Baseline,16500,-0.125442
1337,Baseline,16600,-0.127373
1337,Baseline,16700,-0.129305
1337,Baseline,16800,-0.131236
1337,Baseline,16900,-0.133167
1337,Baseline,17000,-0.135099
1337,Baseline,17100,-0.137030
1337,Baseline,17200,-0.138962
1337,Baseline,17300,-0.140893
1337,Baseline,17400,-0.142825
1337,Baseline,17500,-0.144756
1337,Baseline,17600,-0.146686
1337,Baseline,17700,-0.148615
1337,Baseline,17800,-0.150545
1337,Baseline,17900,-0.152474
1337,Baseline,18000,-0.154404
1337,Baseline,18100,-0.156333
1337,Baseline,18200,-0.158263
1337,Baseline,18300,-0.160192
1337,Baseline,18400,-0.162122
1337,Baseline,18500,-0.164051
1337,Baseline,18600,-0.165981
1337,Baseline,18700,-0.167910
1337,Baseline,18800,-0.169839
1337,Baseline,18900,-0.171769
1337,Baseline,19000,-0.173698
1337,Baseline,19100,-0.175628
1337,Baseline,19200,-0.177557
1337,Baseline,19300,-0.179487
1337,Baseline,19400,-0.181416
1337,Baseline,19500,-0.183346
1337,Baseline,19600,-0.185275
1337,Baseline,19700,-0.187205
1337,Baseline,19800,-0.189134
1337,Baseline,19900,-0.191064
1337,Baseline,20000,-0.192995
1337,Baseline,20100,-0.194947
1337,Baseline,20200,-0.196898
1337,Baseline,20300,-0.198850
1337,Baseline,20400,-0.200801
1337,Baseline,20500,-0.202753
1337,Baseline,20600,-0.204704
1337,Baseline,20700,-0.206656
1337,Baseline,20800,-0.208607
1337,Baseline,20900,-0.210559
1337,Baseline,21000,-0.212510
1337,Baseline,21100,-0.214462
1337,Baseline,21200,-0.216413
1337,Baseline,21300,-0.218365
1337,Baseline,21400,-0.220316
1337,Baseline,21500,-0.222267
1337,Baseline,21600,-0.224219
1337,Baseline,21700,-0.226170
1337,Baseline,21800,-0.228122
1337,Baseline,21900,-0.230073
1337,Baseline,22000,-0.232025
1337,Baseline,22100,-0.233976
1337,Baseline,22200,-0.235928
1337,Baseline,22300,-0.237879
1337,Baseline,22400,-0.239831
1337,Baseline,22500,-0.241782
1337,Baseline,22600,-0.243731
1337,Baseline,22700,-0.245681
1337,Baseline,22800,-0.247630
1337,Baseline,22900,-0.249580
1337,Baseline,23000,-0.251529
1337,Baseline,23100,-0.253479
1337,Baseline,23200,-0.255428
1337,Baseline,23300,-0.257378
1337,Baseline,23400,-0.259327
1337,Baseline,23500,-0.261277
1337,Baseline,23600,-0.263226
1337,Baseline,23700,-0.265176
1337,Baseline,23800,-0.267125
1337,Baseline,23900,-0.269075
1337,Baseline,24000,-0.271024
1337,Baseline,24100,-0.272974
1337,Baseline,24200,-0.274923
1337,Baseline,24300,-0.276873
1337,Baseline,24400,-0.278822
1337,Baseline,24500,-0.280771
1337,Baseline,24600,-0.282721
1337,Baseline,24700,-0.284670
1337,Baseline,24800,-0.286620
1337,Baseline,24900,-0.288569
1337,Baseline,25000,-0.290519
1337,Baseline,25100,-0.292466
1337,Baseline,25200,-0.294414
1337,Baseline,25300,-0.296361
1337,Baseline,25400,-0.298309
1337,Baseline,25500,-0.300256
1337,Baseline,25600,-0.302204
1337,Baseline,25700,-0.304151
1337,Baseline,25800,-0.306098
1337,Baseline,25900,-0.308046
1337,Baseline,26000,-0.309993
1337,Baseline,26100,-0.311941
1337,Baseline,26200,-0.313888
1337,Baseline,26300,-0.315836
1337,Baseline,26400,-0.317783
1337,Baseline,26500,-0.319731
1337,Baseline,26600,-0.321678
1337,Baseline,26700,-0.323626
1337,Baseline,26800,-0.325573
1337,Baseline,26900,-0.327521
1337,Baseline,27000,-0.329468
1337,Baseline,27100,-0.331416
1337,Baseline,27200,-0.333363
1337,Baseline,27300,-0.335311
1337,Baseline,27400,-0.337258
1337,Baseline,27500,-0.339205
1337,Baseline,27600,-0.341151
1337,Baseline,27700,-0.343096
1337,Baseline,27800,-0.345042
1337,Baseline,27900,-0.346987
1337,Baseline,28000,-0.348933
1337,Baseline,28100,-0.350878
