time_ms,packet_delay_ms,normalized_delta_phi,is_replay,detected_by_threshold
0,5.154635,0.031824,0,0
100,4.104390,0.031768,0,0
200,6.899431,0.031722,0,0
300,4.277014,0.031705,0,0
400,2.026735,0.031716,0,0
500,3.470526,0.031748,0,0
600,2.213966,0.031708,0,0
700,7.540332,0.031644,0,0
800,8.197522,0.031627,0,0
900,7.778247,0.031662,0,0
1000,3.946182,0.031649,0,0
1100,3.739392,0.031668,0,0
1200,5.319679,0.031713,0,0
1300,2.128271,0.031691,0,0
1400,4.338379,0.031649,0,0
1500,5.021041,0.031604,0,0
1600,6.205054,0.031579,0,0
1700,0.949771,0.031548,0,0
1800,8.242900,0.031413,0,0
1900,3.673600,0.031299,0,0
2000,3.556207,0.031188,0,0
2100,4.835942,0.031062,0,0
2200,4.910776,0.030956,0,0
2300,4.156957,0.030868,0,0
2400,8.220561,0.030754,0,0
2500,3.176180,0.030559,0,0
2600,2.331063,0.030398,0,0
2700,4.434180,0.030235,0,0
2800,3.255551,0.030040,0,0
2900,7.218322,0.029883,0,0
3000,7.812536,0.029756,0,0
3100,1.666906,0.029644,0,0
3200,4.165018,0.029496,0,0
3300,3.070759,0.029309,0,0
3400,8.261923,0.029076,0,0
3500,7.200118,0.028868,0,0
3600,6.990351,0.028658,0,0
3700,0.590965,0.028397,0,0
3800,6.581421,0.028129,0,0
3900,2.854694,0.027882,0,0
4000,4.013562,0.027550,0,0
4100,4.103941,0.027238,0,0
4200,5.608340,0.026910,0,0
4300,3.704203,0.026557,0,0
4400,4.927381,0.026256,0,0
4500,1.423714,0.025962,0,0
4600,5.927323,0.025604,0,0
4700,0.483168,0.025332,0,0
4800,6.303874,0.025052,0,0
4900,1.560934,0.024742,0,0
5000,7.444471,0.024426,0,0
5100,0.545968,0.024114,0,0
5200,7.503554,0.023829,0,0
5300,8.013729,0.023503,0,0
5400,1.085099,0.023175,0,0
5500,2.939299,0.022928,0,0
5600,8.232604,0.022692,0,0
5700,2.073515,0.022409,0,0
5800,4.027676,0.022098,0,0
5900,8.561159,0.021827,0,0
6000,6.411458,0.021445,0,0
6100,7.957857,0.021045,0,0
6200,4.552455,0.020662,0,0
6300,2.817885,0.020265,0,0
6400,2.841664,0.019804,0,0
6500,0.350172,0.019401,0,0
6600,1.029031,0.019040,0,0
6700,2.796217,0.018709,0,0
6800,4.662241,0.018349,0,0
6900,4.399324,0.017950,0,0
