seed,node_count,convergence_time_ms,failure_observed
1337,10,60000.000,0
1337,50,60000.000,0
1337,100,60000.000,0
1337,500,60000.000,0
9256,10,60000.000,0
9256,50,60000.000,0
9256,100,60000.000,0
9256,500,60000.000,0
17175,10,60000.000,0
17175,50,60000.000,0
17175,100,60000.000,0
17175,500,60000.000,0
25094,10,60000.000,0
25094,50,60000.000,0
25094,100,60000.000,0
25094,500,60000.000,0
33013,10,60000.000,0
33013,50,60000.000,0
33013,100,60000.000,0
33013,500,60000.000,0
40932,10,60000.000,0
40932,50,60000.000,0
40932,100,60000.000,0
40932,500,60000.000,0
48851,10,60000.000,0
48851,50,60000.000,0
48851,100,60000.000,0
48851,500,60000.000,0
56770,10,60000.000,0
56770,50,60000.000,0
56770,100,60000.000,0
56770,500,60000.000,0
64689,10,60000.000,0
64689,50,60000.000,0
64689,100,60000.000,0
64689,500,60000.000,0
72608,10,60000.000,0
72608,50,60000.000,0
72608,100,60000.000,0
72608,500,60000.000,0
80527,10,60000.000,0
80527,50,60000.000,0
80527,100,60000.000,0
80527,500,60000.000,0
88446,10,60000.000,0
88446,50,60000.000,0
88446,100,60000.000,0
88446,500,60000.000,0
96365,10,60000.000,0
96365,50,60000.000,0
96365,100,60000.000,0
96365,500,60000.000,0
104284,10,60000.000,0
104284,50,60000.000,0
104284,100,60000.000,0
104284,500,60000.000,0
112203,10,60000.000,0
112203,50,60000.000,0
112203,100,60000.000,0
112203,500,60000.000,0
120122,10,60000.000,0
120122,50,60000.000,0
120122,100,60000.000,0
120122,500,60000.000,0
128041,10,60000.000,0
128041,50,60000.000,0
128041,100,60000.000,0
128041,500,60000.000,0
135960,10,60000.000,0
135960,50,60000.000,0
135960,100,60000.000,0
135960,500,60000.000,0
143879,10,60000.000,0
143879,50,60000.000,0
143879,100,60000.000,0
143879,500,60000.000,0
151798,10,60000.000,0
151798,50,60000.000,0
151798,100,60000.000,0
151798,500,60000.000,0
