timestamp_ms,node_i_id,node_j_id,phase_diff_rads,freq_diff_hz
0,0,1,0.02999470,0.00050000
0,1,2,0.03001470,0.00050000
0,2,3,0.02999472,0.00050000
0,3,4,0.02999470,0.00050000
0,4,5,0.03001470,0.00050000
0,5,6,0.02999470,0.00050000
0,6,7,0.02999472,0.00050000
0,7,8,0.03001470,0.00050000
0,8,9,0.02999470,0.00050000
240,0,1,0.02935870,0.00050000
240,1,2,0.03177870,0.00050000
240,2,3,0.02936112,0.00050000
240,3,4,0.02935870,0.00050000
240,4,5,0.03177870,0.00050000
240,5,6,0.02935870,0.00050000
240,6,7,0.02936112,0.00050000
240,7,8,0.03177870,0.00050000
240,8,9,0.02935870,0.00050000
480,0,1,0.02872270,0.00050000
480,1,2,0.03354270,0.00050000
480,2,3,0.02872752,0.00050000
480,3,4,0.02872270,0.00050000
480,4,5,0.03354270,0.00050000
480,5,6,0.02872270,0.00050000
480,6,7,0.02872752,0.00050000
480,7,8,0.03354270,0.00050000
480,8,9,0.02872270,0.00050000
720,0,1,0.02808670,0.00050000
720,1,2,0.03530670,0.00050000
720,2,3,0.02809392,0.00050000
720,3,4,0.02808670,0.00050000
720,4,5,0.03530670,0.00050000
720,5,6,0.02808670,0.00050000
720,6,7,0.02809392,0.00050000
720,7,8,0.03530670,0.00050000
720,8,9,0.02808670,0.00050000
960,0,1,0.02745070,0.00050000
960,1,2,0.03707070,0.00050000
960,2,3,0.02746032,0.00050000
960,3,4,0.02745070,0.00050000
960,4,5,0.03707070,0.00050000
960,5,6,0.02745070,0.00050000
960,6,7,0.02746032,0.00050000
960,7,8,0.03707070,0.00050000
960,8,9,0.02745070,0.00050000
1200,0,1,0.02681470,0.00050000
1200,1,2,0.03883470,0.00050000
1200,2,3,0.02682672,0.00050000
1200,3,4,0.02681470,0.00050000
1200,4,5,0.03883470,0.00050000
1200,5,6,0.02681470,0.00050000
1200,6,7,0.02682672,0.00050000
1200,7,8,0.03883470,0.00050000
1200,8,9,0.02681470,0.00050000
1440,0,1,0.02617870,0.00050000
1440,1,2,0.04059870,0.00050000
1440,2,3,0.02619312,0.00050000
1440,3,4,0.02617870,0.00050000
1440,4,5,0.04059870,0.00050000
1440,5,6,0.02617870,0.00050000
1440,6,7,0.02619312,0.00050000
1440,7,8,0.04059870,0.00050000
1440,8,9,0.02617870,0.00050000
1680,0,1,0.02554270,0.00050000
1680,1,2,0.04236270,0.00050000
1680,2,3,0.02555952,0.00050000
1680,3,4,0.02554270,0.00050000
1680,4,5,0.04236270,0.00050000
1680,5,6,0.02554270,0.00050000
1680,6,7,0.02555952,0.00050000
1680,7,8,0.04236270,0.00050000
1680,8,9,0.02554270,0.00050000
1920,0,1,0.02490670,0.00050000
1920,1,2,0.04412670,0.00050000
1920,2,3,0.02492592,0.00050000
1920,3,4,0.02490670,0.00050000
1920,4,5,0.04412670,0.00050000
1920,5,6,0.02490670,0.00050000
1920,6,7,0.02492592,0.00050000
1920,7,8,0.04412670,0.00050000
1920,8,9,0.02490670,0.00050000
2160,0,1,0.02427070,0.00050000
2160,1,2,0.04589070,0.00050000
2160,2,3,0.02429232,0.00050000
2160,3,4,0.02427070,0.00050000
2160,4,5,0.04589070,0.00050000
2160,5,6,0.02427070,0.00050000
2160,6,7,0.02429232,0.00050000
2160,7,8,0.04589070,0.00050000
2160,8,9,0.02427070,0.00050000
2400,0,1,0.02363470,0.00050000
2400,1,2,0.04765470,0.00050000
2400,2,3,0.02365872,0.00050000
2400,3,4,0.02363470,0.00050000
2400,4,5,0.04765470,0.00050000
2400,5,6,0.02363470,0.00050000
2400,6,7,0.02365872,0.00050000
2400,7,8,0.04765470,0.00050000
2400,8,9,0.02363470,0.00050000
2640,0,1,0.02300150,0.00050000
2640,1,2,0.04941590,0.00050000
2640,2,3,0.02302512,0.00050000
2640,3,4,0.02300150,0.00050000
2640,4,5,0.04941590,0.00050000
2640,5,6,0.02300150,0.00050000
2640,6,7,0.02302512,0.00050000
2640,7,8,0.04941590,0.00050000
2640,8,9,0.02300150,0.00050000
2880,0,1,0.02237030,0.00050000
2880,1,2,0.05117510,0.00050000
2880,2,3,0.02239152,0.00050000
2880,3,4,0.02237030,0.00050000
2880,4,5,0.05117510,0.00050000
2880,5,6,0.02237030,0.00050000
2880,6,7,0.02239152,0.00050000
2880,7,8,0.05117510,0.00050000
2880,8,9,0.02237030,0.00050000
3120,0,1,0.02173910,0.00050000
