node_count,loss_rate,mode,mean_time_between_sync_failures,total_dropped
10,0.00,baseline,4800.000,0
10,0.00,wnn_overlay,4800.000,0
10,0.00,handoff,4800.000,0
10,0.00,replay_attack,4800.000,8
10,0.00,ablation_no_delta_phi,4800.000,0
10,0.05,baseline,4800.000,1105
10,0.05,wnn_overlay,4800.000,1118
10,0.05,handoff,4800.000,1093
10,0.05,replay_attack,4800.000,1063
10,0.05,ablation_no_delta_phi,4800.000,1057
10,0.10,baseline,4800.000,2210
10,0.10,wnn_overlay,4800.000,2214
10,0.10,handoff,4800.000,2159
10,0.10,replay_attack,4800.000,2177
10,0.10,ablation_no_delta_phi,4800.000,2223
10,0.25,baseline,4800.000,5384
10,0.25,wnn_overlay,4800.000,5497
10,0.25,handoff,4800.000,5337
10,0.25,replay_attack,4800.000,5385
10,0.25,ablation_no_delta_phi,4800.000,5347
50,0.00,baseline,4800.000,0
50,0.00,wnn_overlay,4800.000,0
50,0.00,handoff,4800.000,0
50,0.00,replay_attack,4800.000,8
50,0.00,ablation_no_delta_phi,4800.000,0
50,0.05,baseline,4800.000,6028
50,0.05,wnn_overlay,4800.000,6006
50,0.05,handoff,4800.000,5951
50,0.05,replay_attack,4800.000,5927
50,0.05,ablation_no_delta_phi,4800.000,5976
50,0.10,baseline,4800.000,11638
50,0.10,wnn_overlay,4800.000,11608
50,0.10,handoff,4800.000,11840
50,0.10,replay_attack,4800.000,11809
50,0.10,ablation_no_delta_phi,4800.000,11723
50,0.25,baseline,4800.000,29430
50,0.25,wnn_overlay,4800.000,29453
50,0.25,handoff,4800.000,29481
50,0.25,replay_attack,4800.000,29726
50,0.25,ablation_no_delta_phi,4800.000,29119
100,0.00,baseline,4800.000,0
100,0.00,wnn_overlay,4800.000,0
100,0.00,handoff,4800.000,0
100,0.00,replay_attack,4800.000,8
100,0.00,ablation_no_delta_phi,4800.000,0
100,0.05,baseline,4800.000,11819
100,0.05,wnn_overlay,4800.000,11860
100,0.05,handoff,4800.000,11904
100,0.05,replay_attack,4800.000,11882
100,0.05,ablation_no_delta_phi,4800.000,11852
100,0.10,baseline,4800.000,23792
100,0.10,wnn_overlay,4800.000,23832
100,0.10,handoff,4800.000,23737
100,0.10,replay_attack,4800.000,23665
100,0.10,ablation_no_delta_phi,4800.000,23874
100,0.25,baseline,4800.000,59178
100,0.25,wnn_overlay,4800.000,59002
100,0.25,handoff,4800.000,59663
100,0.25,replay_attack,4800.000,59294
100,0.25,ablation_no_delta_phi,4800.000,59393
